smoothing_parameter,knee_cycle,maximum_curvature,fit_status,failure_reason
1.0,789.7935871743488,2.542041501034646,success,
3.0,789.7935871743488,2.5939129880018745,success,
10.0,789.7935871743488,2.3038572740510332,success,
30.0,1007.1382765531063,0.2865995097490031,success,
100.0,1053.0,9.122187581531498e-06,success,
