package_path,source_repository_path,artifact_type,figure_ids,accepted_run,sha256,size_bytes,reason_for_inclusion,redistribution_status
tables/generated/degradation_mechanisms_observability.tex,generated by battery_degradation_publication.tables,generated_table_tex,degradation_mechanisms_observability,not-applicable,e5c560f3946575485806097ba87ea8c1a08a0d7b991dc939a0c55713835514e6,2356,Manuscript-ready regenerated LaTeX,included
tables/generated/hierarchical_population_results.tex,generated by battery_degradation_publication.tables,generated_table_tex,hierarchical_population_results,see table_manifest.yaml,eb4b4418e465046959267c08baf37eb6ec8a8d4d99c81f169f88b0692f1a53c1,902,Manuscript-ready regenerated LaTeX,included
tables/generated/preprocessing_summary.tex,generated by battery_degradation_publication.tables,generated_table_tex,preprocessing_summary,see table_manifest.yaml,608e09635bd1cb878ab3d44d3b1705b550caefb65ecf902a99d6c351e9ad683b,1380,Manuscript-ready regenerated LaTeX,included
tables/generated/transition_definitions.tex,generated by battery_degradation_publication.tables,generated_table_tex,transition_definitions,not-applicable,c25aac1f8a22ca99f3b2ddfea425188b9fb8e871b36423b75fdbb48de5a35da5,1269,Manuscript-ready regenerated LaTeX,included
tables/generated/truncation_results.tex,generated by battery_degradation_publication.tables,generated_table_tex,truncation_results,see table_manifest.yaml,18e1e762087e54604a57679f1b10723295b17d63d7d6095616495ecfd6fb7b50,1776,Manuscript-ready regenerated LaTeX,included
tables/machine_readable/battery_technology_context.csv,generated by battery_degradation_publication.tables,generated_table_csv,battery_technology_context,not-applicable,3afe9e056f15dd3da9a67a2c3a558a52ccbe86f376ce10cd6ec70bfcd002ebb0,2089,Machine-readable active manuscript table,included
tables/machine_readable/changepoint_results.csv,generated by battery_degradation_publication.tables,generated_table_csv,changepoint_results,see table_manifest.yaml,d8adf5198c7dc690539ceb8ff7d16c14faa86bc82a5e2201d0bea8985921d622,485,Machine-readable active manuscript table,included
tables/machine_readable/computation_gates.csv,generated by battery_degradation_publication.tables,generated_table_csv,computation_gates,see table_manifest.yaml,136deef2c4a96d68315696f93f5d2b3cd683ba7f47757274ae464e3292790e33,664,Machine-readable active manuscript table,included
tables/machine_readable/degradation_mechanisms_observability.csv,generated by battery_degradation_publication.tables,generated_table_csv,degradation_mechanisms_observability,not-applicable,cc98f3a6880f34809fb3d368acecf30718e7ba3ef8323088d3ccfaebdfe4fca0,2331,Machine-readable active manuscript table,included
tables/machine_readable/hierarchical_population_results.csv,generated by battery_degradation_publication.tables,generated_table_csv,hierarchical_population_results,see table_manifest.yaml,6695bb288893a5c37ad3c926ee278cdebcc01260a5d8af18097ec2f44e138136,483,Machine-readable active manuscript table,included
tables/machine_readable/preprocessing_summary.csv,generated by battery_degradation_publication.tables,generated_table_csv,preprocessing_summary,see table_manifest.yaml,cc7a3096f6e60964156ce2754a91174b9483f0d9b308df8d8c4ecebd03d7d9f1,757,Machine-readable active manuscript table,included
tables/machine_readable/transition_definitions.csv,generated by battery_degradation_publication.tables,generated_table_csv,transition_definitions,not-applicable,43533608d00a5df34afd2eb9b1526c9ce0b1570ee80558cf243ac9db53d882f7,1079,Machine-readable active manuscript table,included
tables/machine_readable/truncation_results.csv,generated by battery_degradation_publication.tables,generated_table_csv,truncation_results,see table_manifest.yaml,378432956d5e8cd501361f40d438fbea69cf113dea309ffc7acc1a208d01ad53,412,Machine-readable active manuscript table,included
tables/reference/battery_technology_context.tex,docs/latex paper/tables/battery_technology_context.tex,curated_table_source,battery_technology_context,not-applicable,24ab376cc2332faba79aceeb1999c5b966e09a27c0f926c0d18a238ecaa85710,2394,Active manuscript table source and exact validation reference,included
tables/reference/changepoint_results.tex,docs/latex paper/tables/changepoint_results.tex,computed_table_source,changepoint_results,see table_manifest.yaml,73ced220cad9b7eed55dbc0161018e6dd6317a23b4ecbf7a00de4be712d812d4,1270,Active manuscript table source and exact validation reference,included
tables/reference/computation_gates.tex,docs/latex paper/tables/computation_gates.tex,computed_table_source,computation_gates,see table_manifest.yaml,1ec9694c20b16b30351185f3affed36f50c6f047a39a16ec1ca5a5a05603bef7,1471,Active manuscript table source and exact validation reference,included
tables/reference/degradation_mechanisms_observability.tex,docs/latex paper/tables/degradation_mechanisms_observability.tex,curated_table_source,degradation_mechanisms_observability,not-applicable,e5c560f3946575485806097ba87ea8c1a08a0d7b991dc939a0c55713835514e6,2356,Active manuscript table source and exact validation reference,included
tables/reference/hierarchical_population_results.tex,docs/latex paper/tables/hierarchical_population_results.tex,computed_table_source,hierarchical_population_results,see table_manifest.yaml,eb4b4418e465046959267c08baf37eb6ec8a8d4d99c81f169f88b0692f1a53c1,902,Active manuscript table source and exact validation reference,included
tables/reference/preprocessing_summary.tex,docs/latex paper/tables/preprocessing_summary.tex,computed_table_source,preprocessing_summary,see table_manifest.yaml,608e09635bd1cb878ab3d44d3b1705b550caefb65ecf902a99d6c351e9ad683b,1380,Active manuscript table source and exact validation reference,included
tables/reference/references.bib,docs/latex paper/references.bib,curated_table_source,battery_technology_context;degradation_mechanisms_observability;transition_definitions,not-applicable,210e8a2791994be9412f828942eadfebf76443a094dccbe00a478dac43cf4542,21310,Current manuscript bibliography for curated-table citation validation,included
tables/reference/transition_definitions.tex,docs/latex paper/tables/transition_definitions.tex,curated_table_source,transition_definitions,not-applicable,c25aac1f8a22ca99f3b2ddfea425188b9fb8e871b36423b75fdbb48de5a35da5,1269,Active manuscript table source and exact validation reference,included
tables/reference/truncation_results.tex,docs/latex paper/tables/truncation_results.tex,computed_table_source,truncation_results,see table_manifest.yaml,18e1e762087e54604a57679f1b10723295b17d63d7d6095616495ecfd6fb7b50,1776,Active manuscript table source and exact validation reference,included
