Battery_ID,bin,cycle_normalized_midpoint,n_observations,residual_mean,residual_median,absolute_residual_mad
1,1,0.0630199383574721,132,-0.25237861581118676,-0.01090075767940002,0.008571186172945389
1,2,0.18403118507339453,133,0.014824163678019376,0.009192685388931032,0.005903742468575501
1,3,0.30886043149769515,132,0.0026163518028463786,-0.0020988223796409855,0.009900693740751088
1,4,0.4427698408938638,133,0.003286011022058002,-0.0065687906993510126,0.030281378192602126
1,5,0.5647286533164594,133,-0.03822131513151552,-0.06550068605799986,0.019205499673041082
1,6,0.6880369855167335,132,0.1268316477690293,0.10742143798127879,0.04504721954727975
1,7,0.8165846659853955,133,0.047057583660367205,-0.009955991812390153,0.028407140332890712
1,8,0.9403707288022034,133,0.09306620090255423,-0.004036556714539508,0.02216038852513158
2,1,0.06299881711512054,133,-0.19683567472441998,-0.015395048678315426,0.009741918939430327
2,2,0.18489714340099794,133,0.02493984654319769,0.019107106925198458,0.012724070895881567
2,3,0.31144543093719834,133,0.02980899462472466,0.011643051310878505,0.013653563334574237
2,4,0.4456212864892793,133,-0.017465416759014595,-0.012812779822216847,0.04605251741123784
2,5,0.569280343716434,133,-0.09988745575653692,-0.14859160501669422,0.027099071215666903
2,6,0.6919808562998817,133,0.1602604928438063,0.10138569608484183,0.056044147265205346
2,7,0.8160138139199717,133,0.11604108952713461,0.041987352776464704,0.03804502867722537
2,8,0.9396440042104127,134,0.12125303832706524,-0.014546670899706626,0.02561335927132813
3,1,0.06299881711512054,133,-0.1435287636600531,0.0031898976001709656,0.009395028784998871
3,2,0.18489714340099794,133,-0.006695194719525523,-0.010582485596152047,0.005564144610710642
3,3,0.3113298617248365,133,0.004015981297197485,-0.018347066966471814,0.016099054518603495
3,4,0.446532243810249,133,0.043703449117581485,0.017005166316731213,0.018019235277394685
3,5,0.5698309970223934,133,0.010895612900877608,-0.029201683379083576,0.014491456988241502
3,6,0.6919808562998817,133,0.06707369241675588,0.021058765983653416,0.01790045234709492
3,7,0.8165712654148936,133,0.04359282753426073,-0.020919442197016913,0.023951974522429254
3,8,0.9401011570517614,133,0.10088698750570492,0.01058511610842583,0.020078286621338925
4,1,0.06299881711512054,133,-0.14160813538326275,0.008190098114949862,0.007221763628734834
