model_id,scenario_id,battery_id,tau_shift_cycles,tau_shift_fraction_of_full_range,tau_hdi_width_ratio,delta_beta_shift,delta_beta_hdi_width_ratio,probability_positive_change,boundary_status_changed,tau_distance_to_observed_end,boundary_status,boundary_status_r0
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260616,1,8.330828087506461,0.007498495128268642,1.3733752302011655,0.00019338004947430047,1.4859615393619263,1.0,False,547.5458847432616,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260616,2,-0.47975811374658406,-0.00043182548492041767,1.4335334283965282,9.646917112320075e-05,1.4600021979565665,1.0,False,528.3478839277029,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260616,3,12.516017950040691,0.011265542709307554,1.4563535177094105,0.00017222958894699998,1.530424762218916,1.0,False,387.107148769541,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260616,4,-12.509743913950047,-0.011259895512106252,1.4301666259790795,3.439856474319984e-05,1.4458438311732433,1.0,False,427.16424298977984,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260616,5,-0.5628447038914146,-0.0005066108945917323,1.4535497732832663,8.545942725840007e-05,1.434453090049261,1.0,False,596.1111680491533,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260616,6,11.171587507495701,0.010055434300176148,1.466971367056857,0.0001583285195596992,1.4452308899305117,1.0,False,643.3479430984984,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260616,7,18.123981257130026,0.01631321445286231,1.4984900354601485,9.90792359494997e-05,1.4402087599134636,1.0,False,576.5672702827753,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260616,8,-5.33365138386705,-0.004800766322112556,1.5194894361891724,6.888459192250056e-05,1.459409974443652,1.0,False,656.6874002567977,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260616,9,-6.702314392354197,-0.006032686221740951,1.4103908380423242,7.086815851330055e-05,1.4236266191792026,1.0,False,505.91643877067577,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260616,10,2.7688059663085482,0.002492174587136407,1.4217781184555534,6.335033530009953e-05,1.4274697985502107,1.0,False,661.6069274459335,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260616,11,22.65883675936982,0.020394992582691108,1.4842864352085263,0.0003339299894212994,1.5826067323880555,1.0,False,155.51106467071986,boundary_sensitive,boundary_sensitive
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260616,12,-8.107881072922623,-0.007297822747905152,1.5020014642251747,1.8389492938199973e-05,1.456470083035952,1.0,False,612.927286821842,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260616,13,-2.6185399713277207,-0.002356921666361585,1.495244783299668,4.0189135787100684e-05,1.423521878036829,1.0,False,679.6534768530036,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260616,14,16.77557985686542,0.015099531824361315,1.315634908496837,-6.50899766150995e-05,1.2632030986415488,1.0,False,742.4394016968828,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260617,1,4.02125179110169,0.003619488560847606,1.2413790896339079,-0.00022807373230910016,1.2211950983390158,1.0,False,551.8554610396664,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260617,2,-14.772932881804536,-0.013296969290553138,1.190138959846071,-0.00031335824528359955,1.1672339468924675,1.0,False,542.6410586957609,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260617,3,-23.75347671001316,-0.021380267065718415,1.2650623501984202,-0.0003463995689570003,1.1678307843879838,1.0,False,423.3766434295949,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260617,4,-19.59976087962741,-0.017641548946559324,1.227881267291994,-0.00027734826629050024,1.228778696279393,1.0,False,434.2542599554572,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260617,5,-7.49149079070628,-0.006743016013236976,1.292113285773366,-0.00026119629231899973,1.256252266839052,1.0,False,603.0398141359682,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260617,6,6.233836185269354,0.005611013668109229,1.199775911131297,-0.0003677373099082006,1.2262158458948949,1.0,False,648.2856944207247,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260617,7,1.812579016641621,0.001631484263403799,1.3793982973523322,-0.00042134271847089986,1.2709868965359268,1.0,False,592.8786725232637,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260617,8,8.043945344677923,0.0072402748376939,1.2647209181978236,-0.0002351838545395996,1.2166676340386378,1.0,False,643.3098035282527,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260617,9,-28.74827910547117,-0.025876038798803933,1.212698903000384,-0.0003763607535516994,1.2043279690298676,1.0,False,527.9624034837927,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260617,10,7.819186626695625,0.007037971761202183,1.2916843182067559,-0.0002682847640178001,1.2713235235094096,1.0,False,656.5565467855464,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260617,11,-46.027483996335945,-0.041428878484550805,1.1746927752448024,-0.0008143603312844002,1.0578875983103648,1.0,True,224.19738542642577,identified,boundary_sensitive
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260617,12,-3.637616131465961,-0.0032741819365130166,1.3428367475705858,-0.00015534435767920003,1.3113939936408543,1.0,False,608.4570218803855,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260617,13,10.644300912262963,0.00958082890392706,1.1989012452681622,-0.0002298013751394993,1.2069454433402989,1.0,False,666.3906359694128,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260617,14,12.668612880715216,0.011402891881831877,1.1910706748892608,-0.00033563504082119965,1.1938206769224533,1.0,False,746.5463686730329,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260618,1,5.647368369988158,0.005083139846974039,1.352681281623653,8.078977736579972e-05,1.4749618752605378,1.0,False,550.2293444607799,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260618,2,-10.167489295428368,-0.009151655531438674,1.338313526287785,-4.755645741099865e-06,1.4598979989599667,1.0,False,538.0356151093847,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260618,3,-6.827228911919178,-0.006145120532780539,1.3691803587289357,6.877662336389999e-05,1.3945393198238198,1.0,False,406.4503956315009,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260618,4,5.417339793125393,0.0048760934231551695,1.3805218117301896,6.582792091869988e-05,1.4766286104021409,1.0,False,409.2371592827044,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260618,5,18.37330481689787,0.016537628098017888,1.5360555826774343,0.00011726749715060009,1.4756507074622487,1.0,False,577.175018528364,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260618,6,10.230818942978772,0.009208657914472342,1.3666963422848952,1.9604058918499742e-05,1.4390997208952436,1.0,False,644.2887116630152,identified,identified
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260618,7,11.37461950757529,0.010238181374955257,1.4643018103671368,9.931153184529994e-05,1.4361028258016248,1.0,False,583.3166320323301,identified,identified
