model_id,scenario_id,battery_id,retained_fraction,full_reference_tau_j_median,full_reference_tau_j_hdi_low,full_reference_tau_j_hdi_high,observed_end_cycle,post_transition_horizon_cycles,normalized_post_transition_horizon,cutoff_before_reference_tau,cutoff_before_reference_hdi_low,cutoff_inside_reference_hdi,availability_class,tau_shift_cycles,absolute_tau_shift_cycles,relative_tau_shift,tau_hdi_width_ratio,probability_delta_beta_positive,prediction_domain_raw,boundary_status,boundary_status_r0,boundary_status_changed,extrapolation_rmse,spearman_tau_shift,spearman_hdi_inflation
H1_hierarchical_h5_1,R4_truncate_75,3,0.75,707.3768332804183,683.0051066445205,735.4344526187701,830.0,122.62316671958172,0.1108708559851552,False,False,False,short_post_transition,-193.6541321067176,193.6541321067176,0.1750941519952238,0.9819511016925908,1.0,extrapolation,identified,identified,False,0.586226630012589,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_75,4,0.75,692.3455009241702,669.0920201542629,715.8970568842793,830.0,137.6544990758298,0.1244615724012927,False,False,False,short_post_transition,-226.24667494684604,226.24667494684604,0.2045629972394629,0.8155310784856368,1.0,extrapolation,identified,identified,False,0.586226630012589,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_75,5,0.75,537.4516766547381,518.9580638261215,555.4194946210371,850.0,312.5483233452619,0.2761027591389239,False,False,False,moderate_post_transition,22.46128433464787,22.46128433464787,0.0198421239705369,0.5959816754084107,1.0,extrapolation,identified,identified,False,0.586226630012589,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_75,6,0.75,447.4804693940059,431.20792129133054,464.1869344014371,826.0,378.5195306059941,0.3437961222579419,False,False,False,long_post_transition,55.00076509214728,55.00076509214728,0.0499552816459103,0.6449503056387184,1.0,extrapolation,identified,identified,False,0.586226630012589,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_75,7,0.75,512.3087484600946,496.785545307232,527.5185842943359,830.0,317.69125153990535,0.2872434462386124,False,False,False,moderate_post_transition,-48.448324025175225,48.448324025175225,0.0438049945978076,0.6055336386984443,1.0,extrapolation,identified,identified,False,0.586226630012589,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_75,8,0.75,452.6462511270694,427.150007536051,477.06784513550974,828.0,375.3537488729306,0.3403025828403723,False,False,False,long_post_transition,145.39321772545543,145.39321772545543,0.1318161538762061,0.5953229728339237,1.0,extrapolation,identified,identified,False,0.586226630012589,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_75,9,0.75,607.7858756216784,584.261676797539,630.8485534161284,830.0,222.21412437832157,0.2009169298176506,False,False,False,moderate_post_transition,-135.0750024395497,135.0750024395497,0.1221292969616182,0.5643565639710687,1.0,extrapolation,identified,identified,False,0.586226630012589,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_75,10,0.75,442.624266587758,420.47965173088585,464.90104889940767,830.0,387.375733412242,0.3502493068826781,False,False,False,long_post_transition,6.826033774539553,6.826033774539553,0.0061718207726397,0.5113684466326375,1.0,extrapolation,identified,identified,False,0.586226630012589,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_75,11,0.75,928.8300985699102,880.3488067382998,974.8137717199372,830.0,-98.8300985699102,-0.0893581361391593,True,True,False,pre_transition,-608.5618794075074,608.5618794075074,0.5502367806577825,0.3345129218184872,1.0,extrapolation,identified,boundary_sensitive,True,0.586226630012589,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_75,12,0.75,502.18059425108055,462.3267053307612,541.3941269610359,830.0,327.81940574891945,0.29640090935707,False,False,False,moderate_post_transition,-120.73181365352946,120.73181365352946,0.1091607718386342,0.4678779875330612,1.0,extrapolation,identified,identified,False,0.586226630012589,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_75,13,0.75,435.9650631183242,410.67108980656496,463.0170693088105,835.0,399.0349368816758,0.3588443676993487,False,False,False,long_post_transition,-28.670429531458467,28.670429531458467,0.0257827603700166,0.4766104811984767,1.0,extrapolation,identified,identified,False,0.586226630012589,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_75,14,0.75,351.7850184462518,324.7975674246435,376.2823776163491,833.0,481.2149815537482,0.4335270104087821,False,False,False,long_post_transition,45.10115581745839,45.10115581745839,0.0406316719076201,0.4140995130469936,1.0,extrapolation,identified,identified,False,0.586226630012589,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_70,1,0.7,556.123287169232,533.0397699937452,577.6560130279138,778.0,221.87671283076804,0.1997090124489361,False,False,False,moderate_post_transition,264.97909550403085,264.97909550403085,0.2385050364572735,1.97782314252924,1.0,extrapolation,identified,identified,False,1.1907080780053092,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_70,2,0.7,579.1318741860437,559.9238690887914,598.1479785473354,775.0,195.8681258139563,0.1770959546238303,False,False,False,moderate_post_transition,318.2713611053208,318.2713611053208,0.2877679575997475,1.6828791371169505,1.0,extrapolation,identified,identified,False,1.1907080780053092,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_70,3,0.7,707.3768332804183,683.0051066445205,735.4344526187701,775.0,67.62316671958172,0.0611421037247574,False,False,False,short_post_transition,-212.6099763782858,212.6099763782858,0.1922332516982692,1.3771987265777483,1.0,extrapolation,identified,identified,False,1.1907080780053092,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_70,4,0.7,692.3455009241702,669.0920201542629,715.8970568842793,775.0,82.65449907582979,0.0747328201408949,False,False,False,short_post_transition,-250.15407970533477,250.15407970533477,0.2261790955744437,1.0379461577399045,1.0,extrapolation,identified,identified,False,1.1907080780053092,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_70,5,0.7,537.4516766547381,518.9580638261215,555.4194946210371,778.0,240.5483233452619,0.2124985188562384,False,False,False,moderate_post_transition,179.47997376770513,179.47997376770513,0.1585512135757112,1.4735583973249136,1.0,extrapolation,identified,identified,False,1.1907080780053092,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_70,6,0.7,447.4804693940059,431.20792129133054,464.1869344014371,771.0,323.5195306059941,0.2938415355186141,False,False,False,moderate_post_transition,160.4418634423116,160.4418634423116,0.1457237633445155,1.249030331078137,1.0,extrapolation,identified,identified,False,1.1907080780053092,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_70,7,0.7,512.3087484600946,496.785545307232,527.5185842943359,775.0,262.69125153990535,0.2375146939782146,False,False,False,moderate_post_transition,-6.093142643933277,6.093142643933277,0.0055091705641349,0.9027764760898518,1.0,extrapolation,identified,identified,False,1.1907080780053092,-0.7203044353074971,-0.35694164989939636
H1_hierarchical_h5_1,R4_truncate_70,8,0.7,452.6462511270694,427.150007536051,477.06784513550974,773.0,320.3537488729306,0.2904385755874257,False,False,False,moderate_post_transition,305.6470662494013,305.6470662494013,0.2771052277873085,1.5068679474109536,1.0,extrapolation,identified,identified,False,1.1907080780053092,-0.7203044353074971,-0.35694164989939636
